image_name,HR,SBP,DBP,MAP,SPO2,RR,HR_W,RR_W,SPO2_W
aveksha_micu_mon-125_2021_11_21_15_30_15.jpeg,"[0.1, 0.18680555555555556, 0.1484375, 0.2125]","[0.6171875, 0.6083333333333333, 0.1203125, 0.18333333333333332]","[0.843359375, 0.59375, 0.16328125, 0.18472222222222223]","[0.784765625, 0.7763888888888889, 0.12421875, 0.10277777777777777]","[0.135546875, 0.6361111111111111, 0.16640625, 0.22777777777777777]","[0.63046875, 0.1638888888888889, 0.1078125, 0.20277777777777778]","[0.253515625, 0.4131944444444444, 0.50703125, 0.13194444444444445]","[0.75390625, 0.39861111111111114, 0.490625, 0.11666666666666667]","[0.262890625, 0.8791666666666667, 0.52578125, 0.15833333333333333]"
aveksha_micu_mon-121_2021_11_25_9_0_2.jpeg,"[0.1328125, 0.11319444444444444, 0.1484375, 0.22083333333333333]","[0.665625, 0.6479166666666667, 0.1390625, 0.1736111111111111]","[0.85390625, 0.6708333333333333, 0.1578125, 0.16944444444444445]","[0.783984375, 0.83125, 0.11015625, 0.09583333333333334]","[0.1546875, 0.5805555555555556, 0.15625, 0.22777777777777777]","[0.691015625, 0.20902777777777778, 0.13828125, 0.2152777777777778]","[0.2703125, 0.375, 0.540625, 0.18333333333333332]","[0.7703125, 0.45902777777777776, 0.4578125, 0.16805555555555557]","[0.263671875, 0.8263888888888888, 0.52421875, 0.18888888888888888]"
aveksha_micu_mon-121_2021_11_25_15_30_2.jpeg,"[0.143359375, 0.10347222222222222, 0.14140625, 0.20694444444444443]","[0.662109375, 0.6284722222222222, 0.13984375, 0.1736111111111111]","[0.851171875, 0.6548611111111111, 0.15546875, 0.1736111111111111]","[0.785546875, 0.8208333333333333, 0.10859375, 0.09722222222222222]","[0.155078125, 0.5604166666666667, 0.15390625, 0.22916666666666666]","[0.676953125, 0.19652777777777777, 0.09609375, 0.2013888888888889]","[0.268359375, 0.36319444444444443, 0.53671875, 0.19583333333333333]","[0.76875, 0.4326388888888889, 0.4609375, 0.15416666666666667]","[0.26484375, 0.8027777777777778, 0.5296875, 0.2]"
aveksha_micu_mon-121_2021_11_23_17_0_2.jpeg,"[0.09921875, 0.11666666666666667, 0.1515625, 0.23333333333333334]","[0.655078125, 0.6479166666666667, 0.14765625, 0.17083333333333334]","[0.854296875, 0.6715277777777777, 0.16796875, 0.1736111111111111]","[0.782421875, 0.8291666666666667, 0.11484375, 0.09444444444444444]","[0.135546875, 0.5916666666666667, 0.16171875, 0.22777777777777777]","[0.677734375, 0.20347222222222222, 0.14609375, 0.2125]","[0.26328125, 0.4013888888888889, 0.5265625, 0.16666666666666666]","[0.762890625, 0.44722222222222224, 0.47265625, 0.17222222222222222]","[0.26171875, 0.8229166666666666, 0.5234375, 0.1763888888888889]"
aveksha_micu_mon-121_2021_11_25_8_0_3.jpeg,"[0.116015625, 0.125, 0.13671875, 0.21666666666666667]","[0.64765625, 0.6465277777777778, 0.14375, 0.17916666666666667]","[0.84296875, 0.6673611111111111, 0.1609375, 0.1736111111111111]","[0.77734375, 0.8395833333333333, 0.1125, 0.09583333333333334]","[0.14140625, 0.5916666666666667, 0.153125, 0.225]","[0.662890625, 0.20694444444444443, 0.13359375, 0.21666666666666667]","[0.260546875, 0.3909722222222222, 0.52109375, 0.2013888888888889]","[0.759375, 0.4423611111111111, 0.4796875, 0.1625]","[0.259375, 0.8263888888888888, 0.51875, 0.18611111111111112]"
aveksha_micu_mon-121_2021_11_24_21_30_2.jpeg,"[0.1015625, 0.11458333333333333, 0.1484375, 0.2263888888888889]","[0.653515625, 0.6402777777777777, 0.14609375, 0.16666666666666666]","[0.848046875, 0.6590277777777778, 0.16484375, 0.16527777777777777]","[0.775390625, 0.8194444444444444, 0.11015625, 0.09166666666666666]","[0.1359375, 0.5826388888888889, 0.15625, 0.22083333333333333]","[0.676953125, 0.1986111111111111, 0.14296875, 0.21944444444444444]","[0.26171875, 0.38472222222222224, 0.5234375, 0.15833333333333333]","[0.761328125, 0.44305555555555554, 0.47578125, 0.15555555555555556]","[0.2609375, 0.8097222222222222, 0.521875, 0.18333333333333332]"
aveksha_micu_mon-127_2021_11_24_14_7_46.jpeg,"[0.063671875, 0.21388888888888888, 0.12734375, 0.20277777777777778]","[0.616796875, 0.6319444444444444, 0.16015625, 0.16944444444444445]","[0.853125, 0.6263888888888889, 0.209375, 0.18055555555555555]","[0.78203125, 0.8041666666666667, 0.1515625, 0.1]","[0.108984375, 0.6395833333333333, 0.14453125, 0.20694444444444443]","[0.6078125, 0.18194444444444444, 0.1484375, 0.21388888888888888]","[0.23359375, 0.4395833333333333, 0.4671875, 0.1375]","[0.734765625, 0.4222222222222222, 0.52890625, 0.10555555555555556]","[0.247265625, 0.8548611111111111, 0.49453125, 0.14305555555555555]"
aveksha_micu_mon-125_2021_11_19_19_30_16.jpeg,"[0.071484375, 0.18958333333333333, 0.14296875, 0.20972222222222223]","[0.598828125, 0.6465277777777778, 0.11953125, 0.1736111111111111]","[0.840234375, 0.6423611111111112, 0.17734375, 0.17916666666666667]","[0.770703125, 0.8326388888888889, 0.12421875, 0.09861111111111111]","[0.147265625, 0.64375, 0.19921875, 0.21805555555555556]","[0.61875, 0.17916666666666667, 0.1140625, 0.2111111111111111]","[0.2421875, 0.41458333333333336, 0.484375, 0.12916666666666668]","[0.7421875, 0.4361111111111111, 0.5140625, 0.13055555555555556]","[0.2515625, 0.8638888888888889, 0.503125, 0.15833333333333333]"
aveksha_micu_mon-127_2021_11_26_5_30_28.jpeg,"[0.059765625, 0.21458333333333332, 0.11953125, 0.19583333333333333]","[0.586328125, 0.6118055555555556, 0.16484375, 0.1763888888888889]","[0.821875, 0.6034722222222222, 0.2078125, 0.1875]","[0.751953125, 0.7909722222222222, 0.16640625, 0.10138888888888889]","[0.095703125, 0.6236111111111111, 0.13515625, 0.19722222222222222]","[0.556640625, 0.15, 0.07734375, 0.21666666666666667]","[0.220703125, 0.4166666666666667, 0.44140625, 0.1361111111111111]","[0.720703125, 0.38819444444444445, 0.55703125, 0.1125]","[0.2265625, 0.8270833333333333, 0.453125, 0.15416666666666667]"
aveksha_micu_mon-121_2021_11_24_9_30_2.jpeg,"[0.106640625, 0.10833333333333334, 0.15390625, 0.21388888888888888]","[0.659375, 0.6486111111111111, 0.1375, 0.16666666666666666]","[0.85, 0.6722222222222223, 0.1609375, 0.16111111111111112]","[0.77890625, 0.8263888888888888, 0.1078125, 0.08888888888888889]","[0.144921875, 0.5770833333333333, 0.16328125, 0.22361111111111112]","[0.687109375, 0.21319444444444444, 0.14296875, 0.21805555555555556]","[0.267578125, 0.38333333333333336, 0.53515625, 0.175]","[0.76796875, 0.46597222222222223, 0.4625, 0.18194444444444444]","[0.26484375, 0.8069444444444445, 0.5203125, 0.18611111111111112]"
