image_name,HR,SBP,DBP,MAP,SPO2,RR,HR_W,RR_W,SPO2_W
hcgranchi_sicu_mon--326_2022_11_13_23_31_12.jpeg,"[0.7734375, 0.15486111111111112, 0.0640625, 0.09305555555555556]","[0.7625, 0.26944444444444443, 0.046875, 0.058333333333333334]","[0.869921875, 0.26875, 0.04296875, 0.059722222222222225]","[0.9640625, 0.25416666666666665, 0.0234375, 0.03333333333333333]","[0.780859375, 0.5243055555555556, 0.08203125, 0.09305555555555556]","[0.763671875, 0.6430555555555556, 0.04921875, 0.09166666666666666]","[0.355859375, 0.39375, 0.63046875, 0.09027777777777778]","[0.328515625, 0.64375, 0.01015625, 0.004166666666666667]","[0.310546875, 0.5333333333333333, 0.59609375, 0.10833333333333334]"
hcgranchi_sicu_mon--326_2022_11_11_2_0_43.jpeg,"[0.791796875, 0.14305555555555555, 0.06640625, 0.09166666666666666]",,,"[0.90546875, 0.2520833333333333, 0.0453125, 0.059722222222222225]","[0.801953125, 0.47638888888888886, 0.07890625, 0.08611111111111111]","[0.78359375, 0.5875, 0.0515625, 0.08888888888888889]","[0.354296875, 0.3472222222222222, 0.69609375, 0.11666666666666667]","[0.348828125, 0.5743055555555555, 0.67578125, 0.09027777777777778]","[0.34609375, 0.46458333333333335, 0.6765625, 0.09861111111111111]"
hcgranchi_sicu_mon--326_2022_11_19_7_30_46.jpeg,"[0.782421875, 0.19444444444444445, 0.07890625, 0.09722222222222222]","[0.765234375, 0.3090277777777778, 0.05078125, 0.0625]","[0.86875, 0.30625, 0.040625, 0.06527777777777778]","[0.962890625, 0.29583333333333334, 0.02265625, 0.03333333333333333]","[0.78203125, 0.5680555555555555, 0.0796875, 0.08888888888888889]","[0.76796875, 0.6930555555555555, 0.065625, 0.09444444444444444]","[0.351953125, 0.4409722222222222, 0.60546875, 0.07083333333333333]","[0.340625, 0.6833333333333333, 0.6140625, 0.07777777777777778]","[0.340234375, 0.5805555555555556, 0.62890625, 0.08888888888888889]"
hcgranchi_sicu_mon--326_2022_11_23_2_1_7.jpeg,"[0.73828125, 0.10694444444444444, 0.065625, 0.08055555555555556]",,"[0.826953125, 0.2, 0.04765625, 0.05]",,"[0.7375, 0.4083333333333333, 0.0640625, 0.08611111111111111]","[0.739453125, 0.5083333333333333, 0.06796875, 0.08611111111111111]","[0.323828125, 0.28055555555555556, 0.64140625, 0.08611111111111111]","[0.3265625, 0.4986111111111111, 0.640625, 0.07222222222222222]","[0.325, 0.40555555555555556, 0.6390625, 0.09444444444444444]"
hcgranchi_sicu_mon--326_2022_11_22_8_0_42.jpeg,"[0.71015625, 0.08888888888888889, 0.0609375, 0.08888888888888889]","[0.7109375, 0.19444444444444445, 0.0515625, 0.058333333333333334]","[0.804296875, 0.18958333333333333, 0.04765625, 0.0625]","[0.8921875, 0.18125, 0.028125, 0.0375]","[0.730859375, 0.42430555555555555, 0.07890625, 0.09027777777777778]","[0.718359375, 0.5347222222222222, 0.05546875, 0.08888888888888889]","[0.323046875, 0.2875, 0.63046875, 0.09166666666666666]","[0.321875, 0.5229166666666667, 0.6265625, 0.08472222222222223]","[0.31953125, 0.42569444444444443, 0.628125, 0.08472222222222223]"
hcgranchi_sicu_mon--326_2022_11_14_2_1_10.jpeg,"[0.791015625, 0.15208333333333332, 0.06640625, 0.09027777777777778]","[0.785546875, 0.26319444444444445, 0.05078125, 0.06805555555555555]","[0.886328125, 0.2625, 0.04140625, 0.06666666666666667]","[0.98125, 0.25555555555555554, 0.0234375, 0.041666666666666664]","[0.797265625, 0.49444444444444446, 0.08046875, 0.1]","[0.780859375, 0.60625, 0.04921875, 0.10416666666666667]","[0.35859375, 0.3576388888888889, 0.64375, 0.09583333333333334]","[0.288671875, 0.5979166666666667, 0.49296875, 0.09027777777777778]","[0.33984375, 0.5006944444444444, 0.6375, 0.06527777777777778]"
hcgranchi_sicu_mon--326_2022_11_15_23_1_8.jpeg,"[0.76953125, 0.14375, 0.0734375, 0.09305555555555556]","[0.75546875, 0.25416666666666665, 0.053125, 0.058333333333333334]","[0.85390625, 0.2465277777777778, 0.0421875, 0.05694444444444444]","[0.946875, 0.2361111111111111, 0.028125, 0.03611111111111111]","[0.758984375, 0.5069444444444444, 0.06015625, 0.09166666666666666]","[0.758984375, 0.6277777777777778, 0.05859375, 0.09722222222222222]","[0.3265625, 0.38055555555555554, 0.6109375, 0.10833333333333334]","[0.33515625, 0.6423611111111112, 0.575, 0.07916666666666666]","[0.316796875, 0.5319444444444444, 0.55546875, 0.10833333333333334]"
hcgranchi_sicu_mon--326_2022_11_15_7_0_31.jpeg,"[0.787890625, 0.15208333333333332, 0.08359375, 0.09583333333333334]",,,,"[0.787890625, 0.5298611111111111, 0.08046875, 0.09861111111111111]","[0.770703125, 0.6548611111111111, 0.05546875, 0.10416666666666667]","[0.344140625, 0.39305555555555555, 0.66328125, 0.11388888888888889]","[0.3453125, 0.6520833333333333, 0.66875, 0.08472222222222223]","[0.34765625, 0.5527777777777778, 0.6734375, 0.08888888888888889]"
hcgranchi_sicu_mon--326_2022_11_15_10_0_22.jpeg,"[0.778125, 0.12291666666666666, 0.0703125, 0.09861111111111111]","[0.76953125, 0.24305555555555555, 0.059375, 0.06111111111111111]","[0.865625, 0.24027777777777778, 0.0421875, 0.058333333333333334]","[0.965234375, 0.22361111111111112, 0.02890625, 0.03611111111111111]","[0.784375, 0.5, 0.0765625, 0.1]","[0.770703125, 0.6222222222222222, 0.05234375, 0.1]","[0.346875, 0.36944444444444446, 0.6296875, 0.1111111111111111]","[0.360546875, 0.6236111111111111, 0.62890625, 0.08888888888888889]","[0.35546875, 0.525, 0.6109375, 0.08333333333333333]"
hcgranchi_sicu_mon--326_2022_11_11_7_30_33.jpeg,"[0.792578125, 0.16111111111111112, 0.06796875, 0.1]","[0.782421875, 0.2743055555555556, 0.04453125, 0.07083333333333333]","[0.891796875, 0.28055555555555556, 0.04453125, 0.06666666666666667]","[0.983203125, 0.2722222222222222, 0.02578125, 0.041666666666666664]","[0.8015625, 0.5326388888888889, 0.0796875, 0.10416666666666667]","[0.781640625, 0.65625, 0.05234375, 0.09305555555555556]","[0.357421875, 0.37569444444444444, 0.70078125, 0.10972222222222222]","[0.38046875, 0.6354166666666666, 0.6375, 0.09027777777777778]","[0.35078125, 0.5361111111111111, 0.7, 0.08888888888888889]"
hcgranchi_sicu_mon--326_2022_11_11_3_30_46.jpeg,"[0.7890625, 0.14583333333333334, 0.0640625, 0.09166666666666666]","[0.784765625, 0.24930555555555556, 0.05078125, 0.0625]","[0.8828125, 0.25, 0.046875, 0.058333333333333334]","[0.978515625, 0.24791666666666667, 0.02421875, 0.034722222222222224]","[0.7953125, 0.4840277777777778, 0.0796875, 0.09027777777777778]","[0.761328125, 0.5909722222222222, 0.04140625, 0.09027777777777778]","[0.335546875, 0.3423611111111111, 0.58828125, 0.10138888888888889]","[0.330078125, 0.5694444444444444, 0.57578125, 0.08333333333333333]","[0.33046875, 0.46875, 0.5921875, 0.0875]"
hcgranchi_sicu_mon--326_2022_11_10_20_30_56.jpeg,"[0.783203125, 0.18194444444444444, 0.06171875, 0.10277777777777777]","[0.87578125, 0.2951388888888889, 0.0421875, 0.059722222222222225]",,"[0.972265625, 0.2902777777777778, 0.02265625, 0.03611111111111111]","[0.78125, 0.54375, 0.078125, 0.10138888888888889]","[0.763671875, 0.6673611111111111, 0.04140625, 0.10138888888888889]","[0.334765625, 0.3909722222222222, 0.64296875, 0.12083333333333333]","[0.34453125, 0.6458333333333334, 0.6484375, 0.1]","[0.341796875, 0.5361111111111111, 0.64296875, 0.09166666666666666]"
hcgranchi_sicu_mon--326_2022_11_11_9_0_42.jpeg,"[0.7828125, 0.14722222222222223, 0.0625, 0.08888888888888889]","[0.774609375, 0.2611111111111111, 0.03984375, 0.06111111111111111]","[0.880078125, 0.25972222222222224, 0.03828125, 0.06111111111111111]","[0.975, 0.25416666666666665, 0.0203125, 0.044444444444444446]","[0.78125, 0.51875, 0.0671875, 0.09305555555555556]","[0.778125, 0.6395833333333333, 0.053125, 0.09305555555555556]","[0.36015625, 0.3770833333333333, 0.5671875, 0.09027777777777778]","[0.370703125, 0.6458333333333334, 0.58984375, 0.07222222222222222]","[0.38359375, 0.5305555555555556, 0.6140625, 0.09722222222222222]"
hcgranchi_sicu_mon--326_2022_11_13_12_30_55.jpeg,"[0.8, 0.15, 0.078125, 0.09166666666666666]","[0.780859375, 0.2590277777777778, 0.04765625, 0.059722222222222225]","[0.881640625, 0.2590277777777778, 0.04296875, 0.059722222222222225]","[0.977734375, 0.25277777777777777, 0.02109375, 0.03333333333333333]","[0.794921875, 0.50625, 0.07890625, 0.10138888888888889]","[0.778515625, 0.6180555555555556, 0.04765625, 0.09166666666666666]","[0.360546875, 0.3576388888888889, 0.50703125, 0.10416666666666667]","[0.367578125, 0.6083333333333333, 0.50234375, 0.10833333333333334]","[0.309375, 0.4965277777777778, 0.5125, 0.09305555555555556]"
hcgranchi_sicu_mon--326_2022_11_11_9_31_34.jpeg,"[0.7828125, 0.16111111111111112, 0.0625, 0.1]","[0.769140625, 0.27708333333333335, 0.03984375, 0.06527777777777778]","[0.872265625, 0.2798611111111111, 0.03984375, 0.06527777777777778]","[0.971484375, 0.27152777777777776, 0.02109375, 0.04027777777777778]","[0.777734375, 0.5277777777777778, 0.06328125, 0.08888888888888889]","[0.77421875, 0.6472222222222223, 0.0515625, 0.1]","[0.351953125, 0.3770833333333333, 0.69296875, 0.10416666666666667]","[0.35078125, 0.6277777777777778, 0.68125, 0.07777777777777778]","[0.347265625, 0.525, 0.68828125, 0.1]"
hcgranchi_sicu_mon--326_2022_11_10_22_31_42.jpeg,"[0.79453125, 0.17152777777777778, 0.0734375, 0.10416666666666667]","[0.789453125, 0.28541666666666665, 0.05078125, 0.06527777777777778]","[0.890234375, 0.2881944444444444, 0.03984375, 0.0625]","[0.984765625, 0.2847222222222222, 0.02734375, 0.03888888888888889]","[0.7984375, 0.5381944444444444, 0.084375, 0.10416666666666667]","[0.767578125, 0.6611111111111111, 0.03671875, 0.1]","[0.373046875, 0.38333333333333336, 0.64921875, 0.11666666666666667]","[0.35703125, 0.6361111111111111, 0.6125, 0.10555555555555556]","[0.35859375, 0.5194444444444445, 0.646875, 0.10833333333333334]"
hcgranchi_sicu_mon--326_2022_11_14_14_31_19.jpeg,"[0.769140625, 0.15625, 0.07109375, 0.09583333333333334]",,,,"[0.76953125, 0.5333333333333333, 0.06875, 0.10277777777777777]","[0.76875, 0.6569444444444444, 0.0703125, 0.10833333333333334]","[0.3375, 0.40069444444444446, 0.675, 0.09861111111111111]","[0.3375, 0.6569444444444444, 0.66875, 0.08611111111111111]","[0.3375, 0.5465277777777777, 0.66875, 0.1125]"
