image_name,HR,SBP,DBP,MAP,SPO2,RR,HR_W,RR_W,SPO2_W
prashant_icu_mon--1_2022_12_7_22_15_2.jpeg,"[0.804296875, 0.16319444444444445, 0.25390625, 0.1763888888888889]","[0.146875, 0.9076388888888889, 0.1375, 0.10138888888888889]","[0.304296875, 0.9125, 0.09609375, 0.10555555555555556]","[0.5390625, 0.8972222222222223, 0.065625, 0.07222222222222222]",,"[0.854296875, 0.8708333333333333, 0.18828125, 0.18333333333333332]","[0.302734375, 0.27152777777777776, 0.60078125, 0.1597222222222222]","[0.326953125, 0.6506944444444445, 0.61484375, 0.20972222222222223]",
prashant_icu_mon--16_2022_12_4_4_17_23.jpeg,"[0.8640625, 0.15694444444444444, 0.1734375, 0.175]",,,,,"[0.879296875, 0.8701388888888889, 0.18203125, 0.17916666666666667]","[0.332421875, 0.2638888888888889, 0.62421875, 0.14722222222222223]","[0.334375, 0.6618055555555555, 0.6171875, 0.14305555555555555]",
siukaphahospital_icu_mon--5_2022_12_4_2_15_33.jpeg,"[0.81640625, 0.17916666666666667, 0.15625, 0.1638888888888889]","[0.121484375, 0.93125, 0.14609375, 0.09861111111111111]","[0.28359375, 0.9208333333333333, 0.09375, 0.1]","[0.526171875, 0.8944444444444445, 0.07421875, 0.08333333333333333]","[0.84609375, 0.47708333333333336, 0.1609375, 0.16805555555555557]","[0.832421875, 0.8458333333333333, 0.16953125, 0.15555555555555556]","[0.3109375, 0.3333333333333333, 0.6109375, 0.11944444444444445]","[0.327734375, 0.6763888888888889, 0.59609375, 0.1]","[0.3140625, 0.5229166666666667, 0.5796875, 0.11805555555555555]"
prashant_icu_mon--16_2022_11_29_8_17_28.jpeg,"[0.825390625, 0.1701388888888889, 0.24609375, 0.1736111111111111]",,,,"[0.86328125, 0.4888888888888889, 0.1625, 0.1638888888888889]","[0.85390625, 0.8708333333333333, 0.1578125, 0.17777777777777778]","[0.33359375, 0.2923611111111111, 0.615625, 0.12638888888888888]","[0.3609375, 0.6583333333333333, 0.55625, 0.09722222222222222]","[0.322265625, 0.48819444444444443, 0.58515625, 0.10972222222222222]"
prashant_icu_mon--1_2022_11_28_16_15_2.jpeg,"[0.815234375, 0.1625, 0.24453125, 0.15833333333333333]",,,,,"[0.84140625, 0.8284722222222223, 0.165625, 0.16805555555555557]","[0.3265625, 0.10625, 0.5859375, 0.1375]",,
prashant_icu_mon--1_2022_11_27_5_15_1.jpeg,"[0.801171875, 0.20208333333333334, 0.23515625, 0.16527777777777777]","[0.178515625, 0.8263888888888888, 0.08828125, 0.10833333333333334]","[0.305859375, 0.8402777777777778, 0.08828125, 0.10277777777777777]","[0.53046875, 0.8534722222222222, 0.0640625, 0.0763888888888889]","[0.841015625, 0.49375, 0.16640625, 0.17083333333333334]","[0.82890625, 0.8541666666666666, 0.1609375, 0.16666666666666666]","[0.322265625, 0.2923611111111111, 0.58359375, 0.1625]","[0.32734375, 0.61875, 0.5921875, 0.11527777777777778]","[0.33125, 0.4652777777777778, 0.5734375, 0.11666666666666667]"
prashant_icu_mon--16_2022_12_7_23_17_3.jpeg,"[0.83984375, 0.17083333333333334, 0.1625, 0.16666666666666666]",,,,"[0.852734375, 0.49166666666666664, 0.23828125, 0.16666666666666666]","[0.85625, 0.8715277777777778, 0.1625, 0.1597222222222222]","[0.319921875, 0.28888888888888886, 0.63359375, 0.11666666666666667]","[0.323046875, 0.6715277777777777, 0.63359375, 0.18472222222222223]","[0.325, 0.49236111111111114, 0.615625, 0.10416666666666667]"
prashant_icu_mon--1_2022_11_27_22_15_2.jpeg,"[0.805859375, 0.18472222222222223, 0.16484375, 0.15]","[0.1703125, 0.8326388888888889, 0.13125, 0.10138888888888889]","[0.31328125, 0.8416666666666667, 0.0921875, 0.09444444444444444]","[0.531640625, 0.8458333333333333, 0.06640625, 0.08055555555555556]","[0.8296875, 0.4798611111111111, 0.171875, 0.16527777777777777]","[0.823046875, 0.8361111111111111, 0.15546875, 0.1638888888888889]","[0.330859375, 0.26944444444444443, 0.57734375, 0.12777777777777777]","[0.33359375, 0.6166666666666667, 0.5734375, 0.12222222222222222]","[0.33515625, 0.46319444444444446, 0.56875, 0.13194444444444445]"
prashant_icu_mon--16_2022_11_28_20_16_49.jpeg,"[0.816015625, 0.1638888888888889, 0.24296875, 0.175]",,,,"[0.85703125, 0.48541666666666666, 0.159375, 0.16527777777777777]","[0.85078125, 0.8868055555555555, 0.153125, 0.1763888888888889]","[0.32265625, 0.28194444444444444, 0.6296875, 0.13055555555555556]","[0.323046875, 0.6805555555555556, 0.61640625, 0.09444444444444444]","[0.31484375, 0.5138888888888888, 0.615625, 0.15833333333333333]"
prashant_icu_mon--16_2022_12_5_17_17_17.jpeg,,,,,,"[0.86328125, 0.8694444444444445, 0.159375, 0.16944444444444445]","[0.334765625, 0.27291666666666664, 0.64296875, 0.12083333333333333]","[0.3265625, 0.6694444444444444, 0.640625, 0.20277777777777778]",
