image_name,HR,SBP,DBP,MAP,SPO2,RR,HR_W,RR_W,SPO2_W
charaklucknow_icu_mon--3_2022_10_27_11_15_37.jpeg,"[0.24921875, 0.23958333333333334, 0.171875, 0.1763888888888889]","[0.13515625, 0.4986111111111111, 0.121875, 0.09722222222222222]","[0.3015625, 0.5, 0.0859375, 0.08611111111111111]","[0.2078125, 0.5736111111111111, 0.1, 0.05]","[0.237109375, 0.7361111111111112, 0.13515625, 0.12777777777777777]","[0.31171875, 0.90625, 0.0625, 0.0625]","[0.60625, 0.27291666666666664, 0.5015625, 0.09027777777777778]","[0.605859375, 0.8326388888888889, 0.50390625, 0.14027777777777778]","[0.60546875, 0.5451388888888888, 0.5, 0.1125]"
charaklucknow_icu_mon--1_2022_11_1_0_15_1.jpeg,"[0.188671875, 0.2298611111111111, 0.26015625, 0.1763888888888889]","[0.126953125, 0.49722222222222223, 0.09140625, 0.08611111111111111]","[0.28828125, 0.49583333333333335, 0.090625, 0.08888888888888889]","[0.188671875, 0.5756944444444444, 0.10546875, 0.05138888888888889]","[0.190234375, 0.7472222222222222, 0.20078125, 0.1361111111111111]","[0.300390625, 0.9215277777777777, 0.06953125, 0.06805555555555555]","[0.60703125, 0.24722222222222223, 0.5328125, 0.08055555555555556]","[0.6265625, 0.8548611111111111, 0.525, 0.14027777777777778]","[0.61875, 0.5166666666666667, 0.5359375, 0.25833333333333336]"
charaklucknow_icu_mon--1_2022_10_28_11_15_1.jpeg,"[0.243359375, 0.22708333333333333, 0.17421875, 0.1763888888888889]","[0.1265625, 0.49375, 0.1296875, 0.09305555555555556]","[0.303125, 0.4888888888888889, 0.0890625, 0.08888888888888889]","[0.205859375, 0.56875, 0.10546875, 0.059722222222222225]","[0.2375, 0.7381944444444445, 0.1421875, 0.13194444444444445]","[0.31875, 0.9090277777777778, 0.0640625, 0.06805555555555555]","[0.623046875, 0.2375, 0.52109375, 0.1361111111111111]","[0.628515625, 0.8319444444444445, 0.52421875, 0.16666666666666666]","[0.626953125, 0.5263888888888889, 0.52578125, 0.18888888888888888]"
charaklucknow_icu_mon--4_2022_10_27_14_15_48.jpeg,"[0.25078125, 0.20208333333333334, 0.18125, 0.19027777777777777]","[0.1203125, 0.47152777777777777, 0.128125, 0.10138888888888889]","[0.29765625, 0.4756944444444444, 0.0890625, 0.09305555555555556]","[0.194140625, 0.5541666666666667, 0.10546875, 0.05555555555555555]","[0.213671875, 0.7298611111111111, 0.13984375, 0.14027777777777778]","[0.298828125, 0.9145833333333333, 0.03515625, 0.07361111111111111]","[0.62109375, 0.23194444444444445, 0.5359375, 0.19166666666666668]","[0.596875, 0.8555555555555555, 0.515625, 0.1111111111111111]","[0.612109375, 0.51875, 0.52421875, 0.1875]"
charaklucknow_icu_mon--3_2022_10_22_11_15_41.jpeg,"[0.255078125, 0.23125, 0.17578125, 0.17916666666666667]","[0.120703125, 0.4840277777777778, 0.11953125, 0.09305555555555556]","[0.275390625, 0.4951388888888889, 0.12265625, 0.09027777777777778]","[0.190625, 0.5659722222222222, 0.1015625, 0.059722222222222225]","[0.208984375, 0.7347222222222223, 0.13671875, 0.1361111111111111]","[0.27421875, 0.9118055555555555, 0.06875, 0.07361111111111111]","[0.621875, 0.2722222222222222, 0.5078125, 0.12222222222222222]","[0.600390625, 0.8652777777777778, 0.50078125, 0.1388888888888889]","[0.610546875, 0.5944444444444444, 0.48359375, 0.3972222222222222]"
charaklucknow_icu_mon--1_2022_10_27_22_15_1.jpeg,"[0.225390625, 0.20625, 0.18203125, 0.18472222222222223]","[0.109765625, 0.47847222222222224, 0.12890625, 0.09027777777777778]","[0.283984375, 0.4777777777777778, 0.08828125, 0.09444444444444444]","[0.188671875, 0.5583333333333333, 0.10390625, 0.05555555555555555]","[0.21953125, 0.7291666666666666, 0.140625, 0.1388888888888889]","[0.299609375, 0.9090277777777778, 0.07109375, 0.07083333333333333]","[0.591015625, 0.20833333333333334, 0.52578125, 0.14444444444444443]","[0.6078125, 0.8263888888888888, 0.5234375, 0.18055555555555555]","[0.60078125, 0.4673611111111111, 0.525, 0.21805555555555556]"
charaklucknow_icu_mon--2_2022_10_22_23_15_29.jpeg,"[0.23046875, 0.2222222222222222, 0.1703125, 0.18055555555555555]","[0.131640625, 0.48680555555555555, 0.08671875, 0.09861111111111111]","[0.28046875, 0.4888888888888889, 0.0875, 0.09722222222222222]","[0.18515625, 0.5659722222222222, 0.1, 0.059722222222222225]","[0.211328125, 0.7340277777777777, 0.13671875, 0.13472222222222222]","[0.2796875, 0.9159722222222222, 0.0671875, 0.07083333333333333]","[0.59453125, 0.2388888888888889, 0.51875, 0.12222222222222222]","[0.597265625, 0.8854166666666666, 0.50859375, 0.09027777777777778]","[0.5984375, 0.5159722222222223, 0.5140625, 0.24027777777777778]"
charaklucknow_icu_mon--3_2022_11_1_12_15_43.jpeg,"[0.248046875, 0.2708333333333333, 0.16171875, 0.17222222222222222]","[0.303515625, 0.5166666666666667, 0.08359375, 0.09166666666666666]","[0.325, 0.9, 0.0578125, 0.06388888888888888]","[0.21953125, 0.5909722222222222, 0.0953125, 0.04861111111111111]","[0.2484375, 0.7451388888888889, 0.128125, 0.12361111111111112]",,"[0.5890625, 0.2520833333333333, 0.4578125, 0.13472222222222222]","[0.599609375, 0.8291666666666667, 0.46328125, 0.13333333333333333]","[0.59453125, 0.5229166666666667, 0.4625, 0.17083333333333334]"
charaklucknow_icu_mon--2_2022_10_23_2_15_29.jpeg,"[0.1640625, 0.22013888888888888, 0.23125, 0.18194444444444444]","[0.083984375, 0.4875, 0.12421875, 0.09166666666666666]","[0.258203125, 0.49236111111111114, 0.09296875, 0.09583333333333334]","[0.158984375, 0.56875, 0.10703125, 0.05694444444444444]","[0.15703125, 0.7395833333333334, 0.1984375, 0.14305555555555555]","[0.2609375, 0.925, 0.0640625, 0.08055555555555556]","[0.594921875, 0.22916666666666666, 0.52265625, 0.14722222222222223]","[0.5828125, 0.9, 0.515625, 0.1]","[0.587890625, 0.5236111111111111, 0.51796875, 0.2111111111111111]"
charaklucknow_icu_mon--3_2022_10_25_2_15_47.jpeg,"[0.2515625, 0.24097222222222223, 0.171875, 0.1736111111111111]","[0.13203125, 0.4895833333333333, 0.11875, 0.09027777777777778]","[0.303125, 0.49444444444444446, 0.0875, 0.08888888888888889]","[0.205078125, 0.5673611111111111, 0.10078125, 0.05416666666666667]","[0.20390625, 0.7277777777777777, 0.190625, 0.13055555555555556]","[0.305078125, 0.8944444444444445, 0.06015625, 0.06666666666666667]","[0.6109375, 0.24583333333333332, 0.515625, 0.12222222222222222]","[0.6078125, 0.7625, 0.49375, 0.29444444444444445]","[0.60703125, 0.5277777777777778, 0.5015625, 0.15555555555555556]"
